age,gender,citizenship,event_location_region,date_of_event,date_of_death,type_of_injury,killed_by,year_of_death
22.0,M,Palestinian,West Bank,2023-05-15,2023-05-15,gunfire,Israeli security forces,2023
19.0,M,Palestinian,West Bank,2023-05-13,2023-05-13,gunfire,Israeli security forces,2023
32.0,M,Palestinian,West Bank,2023-05-13,2023-05-13,gunfire,Israeli security forces,2023
32.0,M,Palestinian,West Bank,2023-05-13,2023-05-13,gunfire,Israeli security forces,2023
51.0,M,Palestinian,Gaza Strip,2023-05-12,2023-05-12,gunfire,Israeli security forces,2023
33.0,M,Palestinian,Gaza Strip,2023-05-12,2023-05-12,gunfire,Israeli security forces,2023
49.0,M,Palestinian,Gaza Strip,2023-05-11,2023-05-11,gunfire,Israeli security forces,2023
66.0,M,Palestinian,West Bank,2023-05-11,2023-05-11,gunfire,Israeli security forces,2023
25.0,M,Palestinian,Gaza Strip,2023-05-11,2023-05-11,gunfire,Israeli security forces,2023
82.0,F,Israeli,Israel,2023-05-11,2023-05-11,gunfire,Palestinian civilians,2023
43.0,M,Palestinian,Gaza Strip,2023-05-11,2023-05-11,gunfire,Israeli security forces,2023
43.0,M,Palestinian,Gaza Strip,2023-05-11,2023-05-11,gunfire,Israeli security forces,2023
36.0,M,Palestinian,Gaza Strip,2023-05-11,2023-05-12,gunfire,Israeli security forces,2023
21.0,M,Palestinian,Gaza Strip,2023-05-11,2023-05-11,gunfire,Israeli security forces,2023
31.0,M,Palestinian,Gaza Strip,2023-05-11,2023-05-11,gunfire,Israeli security forces,2023
23.0,M,Palestinian,Gaza Strip,2023-05-11,2023-05-11,gunfire,Israeli security forces,2023
33.0,M,Palestinian,Gaza Strip,2023-05-11,2023-05-11,gunfire,Israeli security forces,2023
24.0,M,Palestinian,West Bank,2023-05-10,2023-05-10,gunfire,Israeli security forces,2023
25.0,M,Palestinian,Gaza Strip,2023-05-10,2023-05-12,gunfire,Israeli security forces,2023
28.0,M,Palestinian,Gaza Strip,2023-05-10,2023-05-10,gunfire,Israeli security forces,2023
23.0,M,Palestinian,Gaza Strip,2023-05-10,2023-05-10,gunfire,Israeli security forces,2023
26.0,M,Palestinian,Gaza Strip,2023-05-10,2023-05-10,gunfire,Israeli security forces,2023
18.0,M,Palestinian,West Bank,2023-05-10,2023-05-10,gunfire,Israeli security forces,2023
30.0,M,Palestinian,West Bank,2023-05-10,2023-05-11,gunfire,Israeli security forces,2023
17.0,F,Palestinian,Gaza Strip,2023-05-09,2023-05-09,gunfire,Israeli security forces,2023
8.0,M,Palestinian,Gaza Strip,2023-05-09,2023-05-09,gunfire,Israeli security forces,2023
33.0,M,Palestinian,Gaza Strip,2023-05-09,2023-05-09,gunfire,Israeli security forces,2023
27.0,M,Palestinian,Gaza Strip,2023-05-09,2023-05-09,gunfire,Israeli security forces,2023
48.0,M,Palestinian,Gaza Strip,2023-05-09,2023-05-09,gunfire,Israeli security forces,2023
52.0,M,Palestinian,Gaza Strip,2023-05-09,2023-05-09,gunfire,Israeli security forces,2023
19.0,M,Palestinian,Gaza Strip,2023-05-09,2023-05-09,gunfire,Israeli security forces,2023
44.0,F,Palestinian,Gaza Strip,2023-05-09,2023-05-09,gunfire,Israeli security forces,2023
10.0,F,Palestinian,Gaza Strip,2023-05-09,2023-05-09,gunfire,Israeli security forces,2023
61.0,M,Palestinian,Gaza Strip,2023-05-09,2023-05-09,gunfire,Israeli security forces,2023
4.0,F,Palestinian,Gaza Strip,2023-05-09,2023-05-09,gunfire,Israeli security forces,2023
61.0,F,Palestinian,Gaza Strip,2023-05-09,2023-05-09,gunfire,Israeli security forces,2023
19.0,F,Palestinian,Gaza Strip,2023-05-09,2023-05-09,gunfire,Israeli security forces,2023
44.0,M,Palestinian,Gaza Strip,2023-05-09,2023-05-09,gunfire,Israeli security forces,2023
43.0,F,Palestinian,Gaza Strip,2023-05-09,2023-05-09,gunfire,Israeli security forces,2023
20.0,M,Palestinian,West Bank,2023-05-06,2023-05-06,gunfire,Israeli security forces,2023
